trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-17.294561396374217,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-150.93243836264307,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-140.0466979979578,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-189.834197638641,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-154.22198198432795,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-132.48076279258547,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-149.5475121463004,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-136.90678193644263,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-108.19060635478829,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-162.63888633558236,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,15,-15.80115668651085,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-123.59698614773384,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,-55.522383296068014,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-49.78582194039194,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-132.50793169608497,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-25.456107918542877,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-91.07847908814368,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,12,21.41648208381033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-31.446702904887477,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,25.469348483851025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,10.818234974203346,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,11,-10.662200420079419,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-62.373514272339634,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,11,-61.68033165208763,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",35,0,-112.91765193354551,"{0: 29, 1: 1, 2: 0, 3: 3, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,4.599702590382465,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,9,-45.675604652235904,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,9,8.488588673001725,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,17,14.185859594339554,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,12.881329350182497,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
