trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9995001249791693}",20,0,-138.97183952314364,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.9895549325678993}",25,0,-47.22443958902566,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.9772624837732771}",20,0,-84.43854859532914,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.967538559589032}",35,0,-207.8885580266827,"{0: 19, 1: 6, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.9507539286723269}",20,0,-103.18512120132436,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9412937690184057}",20,0,-144.32982840275417,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.9319277395258003}",25,6,-57.611719005924655,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.2, 'e': 0.9231163463866358}",30,0,-110.16332855939137,"{0: 15, 1: 10, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9093729344682314}",25,0,-96.29014065587486,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.8980765224508026}",25,0,-124.4178833119542,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-129.329040695333,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.8780954309205613}",30,0,-92.32480739696456,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8650222931107413}",25,0,-121.21208259439015,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.8542768136084795}",20,2,-68.80325254150698,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.2, 'e': 0.8466228169354396}",20,0,-118.45268490968999,"{0: 7, 1: 6, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8381987791551844}",25,0,-160.12841897772026,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.2, 'e': 0.8277865066947336}",20,5,-17.951211787036495,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.8216013312952537}",25,10,-81.45416312337288,"{0: 7, 1: 1, 2: 5, 3: 2, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.8154623711872927}",30,0,-167.23191466300256,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.8033217181536265}",20,0,-109.23691302418281,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.7953285335050939}",25,7,-35.87390122351485,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.7882026910937704}",25,0,-107.24169758524855,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.778411480013744}",20,1,-122.28234301729272,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
24,False,"{'a': 0.2, 'e': 0.7710515858035663}",20,8,-28.82483265530913,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.7664391275010192}",35,0,-257.93462510812316,"{0: 20, 1: 3, 2: 6, 3: 2, 4: 4}",0
26,False,"{'a': 0.2, 'e': 0.7531431221400645}",25,0,-83.24718561649577,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.7437874280201796}",20,0,-34.85238711320989,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.7363866194561001}",25,6,-123.91935920921775,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 3}",1
29,False,"{'a': 0.2, 'e': 0.7294240710403295}",25,0,-86.78056008694372,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
30,False,"{'a': 0.2, 'e': 0.7203630197053014}",25,0,-46.12574563454221,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.711414526557692}",20,0,-74.25149488190468,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
32,False,"{'a': 0.2, 'e': 0.704335833745186}",25,0,-134.90743110575514,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.2, 'e': 0.6955864334990951}",30,16,-81.33522988452366,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
